,precision,recall,f1-score,support
Negative,0.17132442284325639,0.094,0.12139474817046922,3000.0
Positive,0.3757464400551217,0.5453333333333333,0.4449279303780256,3000.0
accuracy,0.31966666666666665,0.31966666666666665,0.31966666666666665,0.31966666666666665
macro avg,0.273535431449189,0.31966666666666665,0.2831613392742474,6000.0
weighted avg,0.27353543144918907,0.31966666666666665,0.28316133927424736,6000.0
