,precision,recall,f1-score,support
Negative,0.40746934225195097,0.24366666666666667,0.3049645390070922,3000.0
Positive,0.4605325725154541,0.6456666666666667,0.5376075492645018,3000.0
accuracy,0.44466666666666665,0.44466666666666665,0.44466666666666665,0.44466666666666665
macro avg,0.43400095738370253,0.4446666666666667,0.421286044135797,6000.0
weighted avg,0.43400095738370253,0.44466666666666665,0.42128604413579696,6000.0
