,precision,recall,f1-score,support
Negative,0.9963418689723977,0.9986666666666667,0.9975029132678541,3000.0
Positive,0.9986635482793184,0.9963333333333333,0.997497079926581,3000.0
accuracy,0.9975,0.9975,0.9975,0.9975
macro avg,0.9975027086258581,0.9975,0.9974999965972176,6000.0
weighted avg,0.9975027086258581,0.9975,0.9974999965972176,6000.0
